id,code,name
1,05001,MEDELLÍN,
2,05002,ABEJORRAL,
3,05004,ABRIAQUÍ,
4,05021,ALEJANDRÍA,
5,05030,AMAGÁ,
6,05031,AMALFI,
7,05034,ANDES,
8,05036,ANGELÓPOLIS,
9,05038,ANGOSTURA,
10,05040,ANORÍ,
11,05042,SANTAFÉ DE ANTIOQUIA,
12,05044,ANZA,
13,05045,APARTADÓ,
14,05051,ARBOLETES,
15,05055,ARGELIA,
16,05059,ARMENIA,
17,05079,BARBOSA,
18,05086,BELMIRA,
19,05088,BELLO,
20,05091,BETANIA,
21,05093,BETULIA,
22,05101,CIUDAD BOLÍVAR,
23,05107,BRICEÑO,
24,05113,BURITICÁ,
25,05120,CÁCERES,
26,05125,CAICEDO,
27,05129,CALDAS,
28,05134,CAMPAMENTO,
29,05138,CAÑASGORDAS,
30,05142,CARACOLÍ,
31,05145,CARAMANTA,
32,05147,CAREPA,
33,05148,EL CARMEN DE VIBORAL,
34,05150,CAROLINA,
35,05154,CAUCASIA,
36,05172,CHIGORODÓ,
37,05190,CISNEROS,
38,05197,COCORNÁ,
39,05206,CONCEPCIÓN,
40,05209,CONCORDIA,
41,05212,COPACABANA,
42,05234,DABEIBA,
43,05237,DON MATÍAS,
44,05240,EBÉJICO,
45,05250,EL BAGRE,
46,05264,ENTRERRIOS,
47,05266,ENVIGADO,
48,05282,FREDONIA,
49,05284,FRONTINO,
50,05306,GIRALDO,
51,05308,GIRARDOTA,
52,05310,GÓMEZ PLATA,
53,05313,GRANADA,
54,05315,GUADALUPE,
55,05318,GUARNE,
56,05321,GUATAPE,
57,05347,HELICONIA,
58,05353,HISPANIA,
59,05360,ITAGUI,
60,05361,ITUANGO,
61,05364,JARDÍN,
62,05368,JERICÓ,
63,05376,LA CEJA,
64,05380,LA ESTRELLA,
65,05390,LA PINTADA,
66,05400,LA UNIÓN,
67,05411,LIBORINA,
68,05425,MACEO,
69,05440,MARINILLA,
70,05467,MONTEBELLO,
71,05475,MURINDÓ,
72,05480,MUTATÁ,
73,05483,NARIÑO,
74,05490,NECOCLÍ,
75,05495,NECHÍ,
76,05501,OLAYA,
77,05541,PEÑOL,
78,05543,PEQUE,
79,05576,PUEBLORRICO,
80,05579,PUERTO BERRÍO,
81,05585,PUERTO NARE,
82,05591,PUERTO TRIUNFO,
83,05604,REMEDIOS,
84,05607,RETIRO,
85,05615,RIONEGRO,
86,05628,SABANALARGA,
87,05631,SABANETA,
88,05642,SALGAR,
89,05647,SAN ANDRÉS DE CUERQUÍA,
90,05649,SAN CARLOS,
91,05652,SAN FRANCISCO,
92,05656,SAN JERÓNIMO,
93,05658,SAN JOSÉ DE LA MONTAÑA,
94,05659,SAN JUAN DE URABÁ,
95,05660,SAN LUIS,
96,05664,SAN PEDRO,
97,05665,SAN PEDRO DE URABA,
98,05667,SAN RAFAEL,
99,05670,SAN ROQUE,
100,05674,SAN VICENTE,
101,05679,SANTA BÁRBARA,
102,05686,SANTA ROSA DE OSOS,
103,05690,SANTO DOMINGO,
104,05697,EL SANTUARIO,
105,05736,SEGOVIA,
106,05756,SONSON,
107,05761,SOPETRÁN,
108,05789,TÁMESIS,
109,05790,TARAZÁ,
110,05792,TARSO,
111,05809,TITIRIBÍ,
112,05819,TOLEDO,
113,05837,TURBO,
114,05842,URAMITA,
115,05847,URRAO,
116,05854,VALDIVIA,
117,05856,VALPARAÍSO,
118,05858,VEGACHÍ,
119,05861,VENECIA,
120,05873,VIGÍA DEL FUERTE,
121,05885,YALÍ,
122,05887,YARUMAL,
123,05890,YOLOMBÓ,
124,05893,YONDÓ,
125,05895,ZARAGOZA,
126,08001,BARRANQUILLA,
127,08078,BARANOA,
128,08137,CAMPO DE LA CRUZ,
129,08141,CANDELARIA,
130,08296,GALAPA,
131,08372,JUAN DE ACOSTA,
132,08421,LURUACO,
133,08433,MALAMBO,
134,08436,MANATÍ,
135,08520,PALMAR DE VARELA,
136,08549,PIOJÓ,
137,08558,POLONUEVO,
138,08560,PONEDERA,
139,08573,PUERTO COLOMBIA,
140,08606,REPELÓN,
141,08634,SABANAGRANDE,
142,08638,SABANALARGA,
143,08675,SANTA LUCÍA,
144,08685,SANTO TOMÁS,
145,08758,SOLEDAD,
146,08770,SUAN,
147,08832,TUBARÁ,
148,08849,USIACURÍ,
149,11001,"BOGOTÁ, D.C.",
150,13001,CARTAGENA,
151,13006,ACHÍ,
152,13030,ALTOS DEL ROSARIO,
153,13042,ARENAL,
154,13052,ARJONA,
155,13062,ARROYOHONDO,
156,13074,BARRANCO DE LOBA,
157,13140,CALAMAR,
158,13160,CANTAGALLO,
159,13188,CICUCO,
160,13212,CÓRDOBA,
161,13222,CLEMENCIA,
162,13244,EL CARMEN DE BOLÍVAR,
163,13248,EL GUAMO,
164,13268,EL PEÑÓN,
165,13300,HATILLO DE LOBA,
166,13430,MAGANGUÉ,
167,13433,MAHATES,
168,13440,MARGARITA,
169,13442,MARÍA LA BAJA,
170,13458,MONTECRISTO,
171,13468,MOMPÓS,
172,13473,MORALES,
173,13549,PINILLOS,
174,13580,REGIDOR,
175,13600,RÍO VIEJO,
176,13620,SAN CRISTÓBAL,
177,13647,SAN ESTANISLAO,
178,13650,SAN FERNANDO,
179,13654,SAN JACINTO,
180,13655,SAN JACINTO DEL CAUCA,
181,13657,SAN JUAN NEPOMUCENO,
182,13667,SAN MARTÍN DE LOBA,
183,13670,SAN PABLO,
184,13673,SANTA CATALINA,
185,13683,SANTA ROSA,
186,13688,SANTA ROSA DEL SUR,
187,13744,SIMITÍ,
188,13760,SOPLAVIENTO,
189,13780,TALAIGUA NUEVO,
190,13810,TIQUISIO,
191,13836,TURBACO,
192,13838,TURBANÁ,
193,13873,VILLANUEVA,
194,13894,ZAMBRANO,
195,15001,TUNJA,
196,15022,ALMEIDA,
197,15047,AQUITANIA,
198,15051,ARCABUCO,
199,15087,BELÉN,
200,15090,BERBEO,
201,15092,BETÉITIVA,
202,15097,BOAVITA,
203,15104,BOYACÁ,
204,15106,BRICEÑO,
205,15109,BUENAVISTA,
206,15114,BUSBANZÁ,
207,15131,CALDAS,
208,15135,CAMPOHERMOSO,
209,15162,CERINZA,
210,15172,CHINAVITA,
211,15176,CHIQUINQUIRÁ,
212,15180,CHISCAS,
213,15183,CHITA,
214,15185,CHITARAQUE,
215,15187,CHIVATÁ,
216,15189,CIÉNEGA,
217,15204,CÓMBITA,
218,15212,COPER,
219,15215,CORRALES,
220,15218,COVARACHÍA,
221,15223,CUBARÁ,
222,15224,CUCAITA,
223,15226,CUÍTIVA,
224,15232,CHÍQUIZA,
225,15236,CHIVOR,
226,15238,DUITAMA,
227,15244,EL COCUY,
228,15248,EL6aSPINO,
229,15272,FIRAVITOBA,
230,15276,FLORESTA,
231,15293,GACHANTIVÁ,
232,15296,GAMEZA,
233,15299,GARAGOA,
234,15317,GUACAMAYAS,
235,15322,GUATEQUE,
236,15325,GUAYATÁ,
237,15332,GÜICÁN,
238,15362,IZA,
239,15367,JENESANO,
240,15368,JERICÓ,
241,15377,LABRANZAGRANDE,
242,15380,LA CAPILLA,
243,15401,LA VICTORIA,
244,15403,LA UVITA,
245,15407,VILLA DE LEYVA,
246,15425,MACANAL,
247,15442,MARIPÍ,
248,15455,MIRAFLORES,
249,15464,MONGUA,
250,15466,MONGUÍ,
251,15469,MONIQUIRÁ,
252,15476,MOTAVITA,
253,15480,MUZO,
254,15491,NOBSA,
255,15494,NUEVO COLÓN,
256,15500,OICATÁ,
257,15507,OTANCHE,
258,15511,PACHAVITA,
259,15514,PÁEZ,
260,15516,PAIPA,
261,15518,PAJARITO,
262,15522,PANQUEBA,
263,15531,PAUNA,
264,15533,PAYA,
265,15537,PAZ DE RÍO,
266,15542,PESCA,
267,15550,PISBA,
268,15572,PUERTO BOYACÁ,
269,15580,QUÍPAMA,
270,15599,RAMIRIQUÍ,
271,15600,RÁQUIRA,
272,15621,RONDÓN,
273,15632,SABOYÁ,
274,15638,SÁCHICA,
275,15646,SAMACÁ,
276,15660,SAN EDUARDO,
277,15664,SAN JOSÉ DE PARE,
278,15667,SAN LUIS DE GACENO,
279,15673,SAN MATEO,
280,15676,SAN MIGUEL DE SEMA,
281,15681,SAN PABLO DE BORBUR,
282,15686,SANTANA,
283,15690,SANTA MARÍA,
284,15693,SANTA ROSA DE VITERBO,
285,15696,SANTA SOFÍA,
286,15720,SATIVANORTE,
287,15723,SATIVASUR,
288,15740,SIACHOQUE,
289,15753,SOATÁ,
290,15755,SOCOTÁ,
291,15757,SOCHA,
292,15759,SOGAMOSO,
293,15761,SOMONDOCO,
294,15762,SORA,
295,15763,SOTAQUIRÁ,
296,15764,SORACÁ,
297,15774,SUSACÓN,
298,15776,SUTAMARCHÁN,
299,15778,SUTATENZA,
300,15790,TASCO,
301,15798,TENZA,
302,15804,TIBANÁ,
303,15806,TIBASOSA,
304,15808,TINJACÁ,
305,15810,TIPACOQUE,
306,15814,TOCA,
307,15816,TOGÜÍ,
308,15820,TÓPAGA,
309,15822,TOTA,
310,15832,TUNUNGUÁ,
311,15835,TURMEQUÉ,
312,15837,TUTA,
313,15839,TUTAZÁ,
314,15842,UMBITA,
315,15861,VENTAQUEMADA,
316,15879,VIRACACHÁ,
317,15897,ZETAQUIRA,
318,17001,MANIZALES,
319,17013,AGUADAS,
320,17042,ANSERMA,
321,17050,ARANZAZU,
322,17088,BELALCÁZAR,
323,17174,CHINCHINÁ,
324,17272,FILADELFIA,
325,17380,LA DORADA,
326,17388,LA MERCED,
327,17433,MANZANARES,
328,17442,MARMATO,
329,17444,MARQUETALIA,
330,17446,MARULANDA,
331,17486,NEIRA,
332,17495,NORCASIA,
333,17513,PÁCORA,
334,17524,PALESTINA,
335,17541,PENSILVANIA,
336,17614,RIOSUCIO,
337,17616,RISARALDA,
338,17653,SALAMINA,
339,17662,SAMANÁ,
340,17665,SAN JOSÉ,
341,17777,SUPÍA,
342,17867,VICTORIA,
343,17873,VILLAMARÍA,
344,17877,VITERBO,
345,18001,FLORENCIA,
346,18029,ALBANIA,
347,18094,BELÉN DE LOS ANDAQUIES,
348,18150,CARTAGENA DEL CHAIRÁ,
349,18205,CURILLO,
350,18247,EL DONCELLO,
351,18256,EL PAUJIL,
352,18410,LA MONTAÑITA,
353,18460,MILÁN,
354,18479,MORELIA,
355,18592,PUERTO RICO,
356,18610,SAN JOSÉ DEL FRAGUA,
357,18753,SAN VICENTE DEL CAGUÁN,
358,18756,SOLANO,
359,18785,SOLITA,
360,18860,VALPARAÍSO,
361,19001,POPAYÁN,
362,19022,ALMAGUER,
363,19050,ARGELIA,
364,19075,BALBOA,
365,19100,BOLÍVAR,
366,19110,BUENOS AIRES,
367,19130,CAJIBÍO,
368,19137,CALDONO,
369,19142,CALOTO,
370,19212,CORINTO,
371,19256,EL TAMBO,
372,19290,FLORENCIA,
373,19300,GUACHENÉ,
374,19318,GUAPI,
375,19355,INZÁ,
376,19364,JAMBALÓ,
377,19392,LA SIERRA,
378,19397,LA VEGA,
379,19418,LÓPEZ,
380,19450,MERCADERES,
381,19455,MIRANDA,
382,19473,MORALES,
383,19513,PADILLA,
384,19517,PAEZ,
385,19532,PATÍA,
386,19533,PIAMONTE,
387,19548,PIENDAMÓ,
388,19573,PUERTO TEJADA,
389,19585,PURACÉ,
390,19622,ROSAS,
391,19693,SAN SEBASTIÁN,
392,19698,SANTANDER DE QUILICHAO,
393,19701,SANTA ROSA,
394,19743,SILVIA,
395,19760,SOTARA,
396,19780,SUÁREZ,
397,19785,SUCRE,
398,19807,TIMBÍO,
399,19809,TIMBIQUÍ,
400,19821,TORIBIO,
401,19824,TOTORÓ,
402,19845,VILLA RICA,
403,20001,VALLEDUPAR,
404,20011,AGUACHICA,
405,20013,AGUSTÍN CODAZZI,
406,20032,ASTREA,
407,20045,BECERRIL,
408,20060,BOSCONIA,
409,20175,CHIMICHAGUA,
410,20178,CHIRIGUANÁ,
411,20228,CURUMANÍ,
412,20238,EL COPEY,
413,20250,EL PASO,
414,20295,GAMARRA,
415,20310,GONZÁLEZ,
416,20383,LA GLORIA,
417,20400,LA JAGUA DE IBIRICO,
418,20443,MANAURE,
419,20517,PAILITAS,
420,20550,PELAYA,
421,20570,PUEBLO BELLO,
422,20614,RÍO DE ORO,
423,20621,LA PAZ,
424,20710,SAN ALBERTO,
425,20750,SAN DIEGO,
426,20770,SAN MARTÍN,
427,20787,TAMALAMEQUE,
428,23001,MONTERÍA,
429,23068,AYAPEL,
430,23079,BUENAVISTA,
431,23090,CANALETE,
432,23162,CERETÉ,
433,23168,CHIMÁ,
434,23182,CHINÚ,
435,23189,CIÉNAGA DE ORO,
436,23300,COTORRA,
437,23350,LA APARTADA,
438,23417,LORICA,
439,23419,LOS CÓRDOBAS,
440,23464,MOMIL,
441,23466,MONTELÍBANO,
442,23500,MOÑITOS,
443,23555,PLANETA RICA,
444,23570,PUEBLO NUEVO,
445,23574,PUERTO ESCONDIDO,
446,23580,PUERTO LIBERTADOR,
447,23586,PURÍSIMA,
448,23660,SAHAGÚN,
449,23670,SAN ANDRÉS SOTAVENTO,
450,23672,SAN ANTERO,
451,23675,SAN BERNARDO DEL VIENTO,
452,23678,SAN CARLOS,
453,23686,SAN PELAYO,
454,23807,TIERRALTA,
455,23855,VALENCIA,
456,25001,AGUA DE DIOS,
457,25019,ALBÁN,
458,25035,ANAPOIMA,
459,25040,ANOLAIMA,
460,25053,ARBELÁEZ,
461,25086,BELTRÁN,
462,25095,BITUIMA,
463,25099,BOJACÁ,
464,25120,CABRERA,
465,25123,CACHIPAY,
466,25126,CAJICÁ,
467,25148,CAPARRAPÍ,
468,25151,CAQUEZA,
469,25154,CARMEN DE CARUPA,
470,25168,CHAGUANÍ,
471,25175,CHÍA,
472,25178,CHIPAQUE,
473,25181,CHOACHÍ,
474,25183,CHOCONTÁ,
475,25200,COGUA,
476,25214,COTA,
477,25224,CUCUNUBÁ,
478,25245,EL COLEGIO,
479,25258,EL PEÑÓN,
480,25260,EL ROSAL,
481,25269,FACATATIVÁ,
482,25279,FOMEQUE,
483,25281,FOSCA,
484,25286,FUNZA,
485,25288,FÚQUENE,
486,25290,FUSAGASUGÁ,
487,25293,GACHALA,
488,25295,GACHANCIPÁ,
489,25297,GACHETÁ,
490,25299,GAMA,
491,25307,GIRARDOT,
492,25312,GRANADA,
493,25317,GUACHETÁ,
494,25320,GUADUAS,
495,25322,GUASCA,
496,25324,GUATAQUÍ,
497,25326,GUATAVITA,
498,25328,GUAYABAL DE SIQUIMA,
499,25335,GUAYABETAL,
500,25339,GUTIÉRREZ,
501,25368,JERUSALÉN,
502,25372,JUNÍN,
503,25377,LA CALERA,
504,25386,LA MESA,
505,25394,LA PALMA,
506,25398,LA PEÑA,
507,25402,LA VEGA,
508,25407,LENGUAZAQUE,
509,25426,MACHETA,
510,25430,MADRID,
511,25436,MANTA,
512,25438,MEDINA,
513,25473,MOSQUERA,
514,25483,NARIÑO,
515,25486,NEMOCÓN,
516,25488,NILO,
517,25489,NIMAIMA,
518,25491,NOCAIMA,
519,25506,VENECIA,
520,25513,PACHO,
521,25518,PAIME,
522,25524,PANDI,
523,25530,PARATEBUENO,
524,25535,PASCA,
525,25572,PUERTO SALGAR,
526,25580,PULÍ,
527,25592,QUEBRADANEGRA,
528,25594,QUETAME,
529,25596,QUIPILE,
530,25599,APULO,
531,25612,RICAURTE,
532,25645,SAN ANTONIO DEL TEQUENDAMA,
533,25649,SAN BERNARDO,
534,25653,SAN CAYETANO,
535,25658,SAN FRANCISCO,
536,25662,SAN JUAN DE RÍO SECO,
537,25718,SASAIMA,
538,25736,SESQUILÉ,
539,25740,SIBATÉ,
540,25743,SILVANIA,
541,25745,SIMIJACA,
542,25754,SOACHA,
543,25758,SOPÓ,
544,25769,SUBACHOQUE,
545,25772,SUESCA,
546,25777,SUPATÁ,
547,25779,SUSA,
548,25781,SUTATAUSA,
549,25785,TABIO,
550,25793,TAUSA,
551,25797,TENA,
552,25799,TENJO,
553,25805,TIBACUY,
554,25807,TIBIRITA,
555,25815,TOCAIMA,
556,25817,TOCANCIPÁ,
557,25823,TOPAIPÍ,
558,25839,UBALÁ,
559,25841,UBAQUE,
560,25843,VILLA DE SAN DIEGO DE UBATE,
561,25845,UNE,
562,25851,ÚTICA,
563,25862,VERGARA,
564,25867,VIANÍ,
565,25871,VILLAGÓMEZ,
566,25873,VILLAPINZÓN,
567,25875,VILLETA,
568,25878,VIOTÁ,
569,25885,YACOPÍ,
